"","minlatedeparted","scheddeplocal"
"618",-8,"01/03/2019 11:00"
"619",121,"01/03/2019 4:55"
"620",-5,"03/11/2018 6:30"
"621",-2,"03/11/2018 6:00"
"622",5,"03/11/2018 10:50"
"623",-16,"03/11/2018 13:00"
"624",44,"03/11/2018 9:35"
"625",-1,"03/11/2018 5:40"
"626",-5,"03/11/2018 13:15"
"627",-4,"03/11/2018 8:20"
"628",-11,"03/11/2018 4:55"
"629",5,"03/11/2018 5:50"
"630",-12,"03/11/2018 17:15"
"631",-13,"03/11/2018 14:55"
"632",-2,"03/11/2018 12:30"
"633",-8,"03/11/2018 11:00"
"634",22,"19/01/2019 6:30"
"635",34,"19/01/2019 6:00"
"636",120,"19/01/2019 10:50"
"637",100,"19/01/2019 13:00"
"638",107,"19/01/2019 9:35"
"639",40,"19/01/2019 5:40"
"640",52,"19/01/2019 13:15"
"641",0,"19/01/2019 14:45"
"642",25,"19/01/2019 5:35"
"643",-2,"19/01/2019 4:55"
"644",167,"19/01/2019 14:55"
"645",27,"19/01/2019 21:35"
"646",79,"19/01/2019 12:30"
"647",-15,"19/01/2019 11:00"
"648",-3,"19/01/2019 4:55"
"649",-6,"26/12/2018 9:15"
"650",-3,"26/12/2018 6:00"
"651",-2,"26/12/2018 10:50"
"652",-21,"26/12/2018 13:00"
"653",8,"26/12/2018 9:35"
"654",6,"26/12/2018 13:15"
"655",-6,"26/12/2018 5:40"
"656",-2,"26/12/2018 6:30"
"657",-17,"26/12/2018 8:20"
"658",0,"26/12/2018 14:45"
"659",-1,"26/12/2018 5:35"
"660",-2,"26/12/2018 4:55"
"661",4,"26/12/2018 14:55"
"662",5,"26/12/2018 21:35"
"663",-4,"26/12/2018 12:30"
"664",-13,"26/12/2018 11:00"
"665",-9,"26/12/2018 4:55"
"666",-11,"05/08/2018 6:20"
"667",4,"05/08/2018 5:50"
"668",-15,"05/08/2018 11:05"
"669",5,"05/08/2018 13:00"
"670",-12,"05/08/2018 9:35"
"671",-14,"05/08/2018 13:15"
"672",-7,"05/08/2018 5:40"
"673",-18,"05/08/2018 9:00"
"674",-9,"05/08/2018 15:15"
"675",-5,"05/08/2018 12:40"
"676",-13,"05/08/2018 10:15"
"677",102,"28/12/2018 9:15"
"678",20,"28/12/2018 6:00"
"679",2,"28/12/2018 10:50"
"680",10,"28/12/2018 13:00"
"681",7,"28/12/2018 9:35"
"682",-3,"28/12/2018 8:20"
"683",9,"28/12/2018 5:35"
"684",7,"28/12/2018 4:55"
"685",13,"28/12/2018 14:55"
"686",54,"28/12/2018 12:30"
"687",-13,"28/12/2018 11:00"
"688",3,"10/07/2018 6:20"
"689",17,"10/07/2018 5:50"
"690",-6,"10/07/2018 11:05"
"691",-16,"10/07/2018 13:00"
"692",44,"10/07/2018 9:35"
"693",3,"10/07/2018 5:40"
"694",-5,"10/07/2018 9:00"
"695",-16,"10/07/2018 13:15"
"696",-4,"10/07/2018 15:15"
"697",-14,"10/07/2018 18:10"
"698",-7,"10/07/2018 12:40"
"699",-7,"10/07/2018 10:15"
"700",10,"09/02/2019 6:30"
"701",16,"09/02/2019 9:15"
"702",25,"09/02/2019 6:00"
"703",39,"09/02/2019 10:50"
"704",0,"09/02/2019 13:00"
"705",19,"09/02/2019 9:35"
